permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
PAA180697,VACANT APARTMENT BUILDING,708  CHARTIERS AVE,MCKEES ROCKS,15136,850,1422,466,REMOVE ROOFING MATERIAL AND ALL EXTERIOR WINDOW CAULKING,10500,f,12/6/18,11/29/19,2,t,f,11/29/19,DEMOLITION,40.4657904,-80.0617434
PAA180702,VACANT COMMERCIAL STRUCTURE,810  MONONGAHELA AVE,GLASSPORT,15045,850,77408,921,REMOVE MASTIC THROUGHOUT BUILDING & VAT/MASTIC FROM DEBRIS PILE OUTSIDE OF BUILDING,16000,f,1/7/19,12/19/19,8,t,f,12/19/19,RENOVATION,40.3222667,-79.8927028
PAA180703,ARROTT BUILDING,411  WOOD ST,PITTSBURGH,15222,850,20907,412,"REMOVE WAL MASTIC FROM 9TH FL, PIPE INSULATION IN VERTICLE CHASE THROUGHOUT BLDG, FLOOR TILS/SHEET FLOORTING THORUGHUHOUT BLDG ALL FLOORS, FLOOR MASTIC THROUGHOUT BLDG, TANK INSULATION AND TRANSITE IN SUB-BASEMENT, & SINK MASTIC ON 2ND FL",74078,f,12/20/18,12/1/09,2,f,f,12/1/19,RENOVATION,40.4398222,-80.0012066
PAA180705,DITHRIDGE TOWERS,144 N DITHRIDGE ST,PITTSBURGH,15213,850,18823,902,REMOVE ROOFING,1547,t,12/21/18,12/9/19,2,t,f,3/10/19,RENOVATION,40.4482339,-79.950786
PAA180715,CHARTIERS VALLEY MIDDLE SCHOOL,50 THOMS RUN RD,BRIDGEVILLE,15017,850,2015,360,"REMOVE FLOOR TILE & MASTIC & TRANSITE PANELS THROUGHOUT MIDDLE SCHOOL, ROOF FLASHING TAR, ROOF FELT AND INTERIOR WINDOW GLAZE",19900,t,12/26/18,12/25/19,8,t,f,12/25/19,DEMOLITION,40.3792417,-80.1030421
PAA180716,COMMERCIAL BUILDING,18 WESTERN AVE,PITTSBURGH,15202,200,USPSMO21974562797,335,"REMOVE 12X12 VAT & MASTIC FROM 1ST FLOOR HALLWAY & 9"" VAT FROM 3RD FLOOR SIDE ROOM",225,f,12/24/18,12/24/19,2,t,f,12/24/19,DEMOLITION,40.5061385,-80.0877355
PAA180721,ANTONIAN HALL - CARLOW UNIVERSITY,3333  5TH AVE,PITTSBURGH,15213,850,4439,316,"REMOVE VAT/MASTIC FROM ROOMS 410, 511, 513",2190,f,12/27/18,12/27/19,2,t,f,12/27/19,RENOVATION,40.4389338,-79.9631161
PAA180725,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,850,4385,326,"REMOVE FLOOR TILE & MASTIC FROM 2ND FL EGRESS CORRIDOR, CONFERENCE RM, ON-CALL & CLINICIANS OFFICE, DEPARTMENT CORRIDOR, OFFICES 2030 & 2031.",1667,t,12/26/18,12/25/19,2,f,f,12/25/19,RENOVATION,40.4362085,-79.9856207
PAA180730,USS CLAIRTON WORKS EMERG NOTIF/#2 CONTROL RM,400 STATE ST,CLAIRTON,15025,850,29239,946,"REMOVE PIPE COVERING, GASKETS, SHEETING, WIRING, TSI & MISCELLANEOUS MATERIAL DUE TO FIRE DAMAGE IN CONTROL ROOM #2",25000,t,12/27/18,12/26/19,8,f,f,12/26/19,RENOVATION,40.2940921,-79.8728393
PAA190008,AHN ALLEGHENY GENERAL HOSPITAL - ADMIN OFFICE,320 E NORTH AVE,PITTSBURGH,15212,850,407317,929,"REMOVE TSI/ACM FROM AGH-ADMIN OFC, S. TOWER, LVL 1, PERIMETER; VCT & MASTIC FROM AGH ADMIN OFC, S. TOWER, LVL 1 PRINTER OFC, JANITOR CLOSET & KITCHEN; & SPRAY-ON FIREPROOFING FROM AGH ADMIN OFC, S. TOWER, LVL 1",3444,t,1/4/19,8/1/19,2,f,f,8/1/19,RENOVATION,40.4574469,-80.0032706
PAA190011,UMC ST MARGARET'S HOSPITAL,815 FREEPORT RD,PITTSBURGH,15215,85,4386,326,REMOVE BLACK MASTIC FRM ROOM 1425/1ST FL/CENTRAL STORAGE,1450,t,1/10/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4891376,-79.8961109
PAA190022,US STEEL IRVIN WORKS/GALVANIZING  DEPT - PO BOX 878,,DRAVOSBURG,15034,200,29102,946,REMOVE TSI PIPING FROM GALVANIZING DEPARTMENT,295,t,1/7/19,12/31/19,2,f,t,1/18/19,RENOVATION,40.351279,-79.8884819
PAA190036,US COURTHOUSE,700 GRANT ST,PITTSBURGH,15219,850,1354,901,REMOVE 1 X 1 CEILING TILE FROM COURTROOMS 9A & 9B,3000,t,1/15/19,12/31/19,2,t,f,12/31/19,RENOVATION,40.4427412,-79.9936597
PAA190043,WESTINGHOUSE CHURCHILL CORP CAMPUS - 1333 BEULAH ROAD,,PITTSBURGH,15235,850,6581,938,"REMOVE ALL MASTIC, CARPET, FLOORING, LAB TOPS HOODS, DUCT COATING, FLEX DUCT, TSI FITTINGS ON 2ND FLOOR, WET WIPE ENTIRE 2ND FLOOR AREA AND DUCT COATING ON 1ST, 2ND & 3RD FOOR PIPE CHASE",76310,f,1/21/19,1/21/20,2,t,f,1/21/20,RENOVATION,40.4586216,-79.8184684
PAA190049,FORMER BABIES R US ROOF,3700  WILLIAM PENN HWY,MONROEVILLE,15146,850,21125,941,REMOVE GALBESTOS SHEETING FROM PARAPET & MECHANICAL EQUIPMENT SCREEN WALL,6160,t,1/21/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4347614,-79.7892027
PAA190052,US STEEL CLAIRTON #1 WHARF NORTH BUILDING,400 STATE ST,CLAIRTON,15025,850,33605,904,REMOVE TRANSITE FROM WALLS AND ROOF,1200,f,1/21/19,1/20/20,2,t,f,1/20/20,RENOVATION,40.2940921,-79.8728393
PAA190053,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,200,4389,928,REMOVE FLOOR TILE & MASTIC IN CENTRAL SUPPLY OFFICE AND CENTRAL SUPPLY,570,t,1/10/19,12/28/19,2,t,f,12/28/19,RENOVATION,40.4362085,-79.9856207
PAA190055,US STEEL CLAIRTON 01 STORAGE SHED ROOF,400 STATE ST,CLAIRTON,15025,850,33606,904,REMOVE GALBESTOS FROM ROOF,900,f,1/19/19,1/19/20,2,t,f,1/19/20,RENOVATION,40.2940921,-79.8728393
PAA190061,UPMC MCKEESPORT 5TH FLOOR - CCU,1500 5TH AVE,MCKEESPORT,15132,850,1355,901,REMOVE 12 X 12 FLOOR TILE AND BLACK MASTIC IN THE 5TH FLOOR CCU,4820,f,1/22/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.3510349,-79.8490186
PAA190063,PITTSBURGH STUDENT ACHIEVEMENT CENTER,925 BRUSHTON AVE,PITTSBURGH,15208,1850,6736 & 6591,938,"REMOVE BULETIN/CHALK BOARDS & MASTIC FROM ROOMS 100, 105, 211, 320B, & 333, WALL & CEILING PLASTER FROM ROOMS 100, 115, 118, 119, 119A, 200, 200B, 211, 214B, & 220; AND CONTAMINATED CEILING TILE & TRACK FROM ROOM 118",13391,t,5/21/19,5/21/20,2,f,f,5/21/20,RENOVATION,40.4563926,-79.8885784
PAA190064,DUQUENSE UNIVERSITY - LIBERMAN HALL ROOM 407,600 FORBES AVE,PITTSBURGH,15219,450,13623,912,REMOVE VAT & MASTIC FROM ROOM #407 IN LIBERMAN HALL,650,t,1/28/19,8/28/19,2,t,f,8/28/19,RENOVATION,40.4386696,-79.9944656
PAA190065,ON PNC PLAZA A LEVEL UPS ROOM,225  5TH AVE,PITTSBURGH,15222,850,5273,940,REMOVE FLOOR TILE AND MASTIC,1000,t,1/17/19,12/28/19,2,f,f,12/28/19,RENOVATION,40.4413691,-80.0013643
PAA190068,UNIVERSITY OF PITTSBURGH - OLD FORD BUILDING,5000  BAUM BLVD,PITTSBURGH,15213,850,1376,901,VARIOUS MATERIALS IN VARIOUS LOCATIONS THROUGHOUT BUILDING - SEE ATTACHED LIST,62225,f,1/31/19,1/31/20,8,f,f,1/31/20,RENOVATION,40.4550425,-79.944171
PAA190084,OFFICE BUILDING,800  PENN AVE,PITTSBURGH,15222,1850,1392,901,"REMOVE WALL PLASTER FROM FLOORS 1-8; FLOOR TILE/MASTIC FRIN 8TH FL, 3RD FL STAIRCASE, 7TH FL PHONE BOOTH, 1ST FL HALL & RESTROOMS; BUILT UP ROOFING & PARAPET WALL MASTIC FROM ROOF; WALL MASTIC FROM ELEVATOR MACHINE ROOM; FIRE DOORS;  & GLUE IN MAIN LOBBY",17735,f,3/4/19,12/31/19,8,f,f,12/31/19,RENOVATION,40.4433422,-79.9991627
PAA190086,WEST PENN HOSPITAL,4800 FRIENDSHIP AVE,PITTSBURGH,15224,1250,1393,901,REMOVE FLOOR TILE AND MASTIC IN 1ST FLOOR BREAST CANCER CENTER,6561,t,2/13/19,8/31/19,2,t,f,8/31/19,RENOVATION,40.4614529,-79.9463637
PAA190087,MONTEFIORE HOSPITAL - SUITE 1111,3459 5TH AVE,PITTSBURGH,15213,450,5361,940,REMOVE FLOOR TILE AND MASTIC,750,t,2/15/19,12/30/19,2,f,f,12/30/19,RENOVATION,40.4405925,-79.9617686
PAA190089,MANOR BUILDING,564  FORBES AVE,PITTSBURGH,15219,1850,13659,912,REMOVE VAT & MASTIC FROM 5TH & 6TH FLOORS,18000,t,2/15/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4377045,-79.9951014
PAA190091,EAST LIBERTY BUS GARAGE,6831  5TH AVE,PITTSBURGH,15206,200,5304,908,"REMOVE TRANSITE PIPE IN GARAGE BAYS 6, 7, 8, & 9",250,t,2/15/19,9/30/19,2,t,f,9/30/19,RENOVATION,40.4570214,-79.9127985
PAA190094,COMMONWEALTH BUILDING - 316 FOURTH AVENUE,,PITTSBURGH,15222,1850,4462 & 4464,905,"REMOVE VAT, PIPE & FITTINGS, & CEILING PLASTER FROM ALL FLOORS",227985,t,2/14/19,12/31/19,2,f,f,12/31/19,RENOVATION,40.4475255,-79.9933976
PAA190097,UPMC MAAGEE HOSPITAL,300 HALKET ST,PITTSBURGH,15213,1250,5409 & 5410,940,REMOVE CC FLOOR TILE & FLOOR MASTIC FROM 2800 WING,4200,t,2/20/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4368286,-79.960688
PAA190119,171ST AIR REFUELING WING- 300 TANKER ROAD,,CORAOPOLIS,15108,1850,1398,901,"REMOVE THERMAL PIPE INSULATION FROM BASEMENT & HANGAR 301; PIPE FITTINGS FROM HANGAR 301; ACM FLOOR TILE/MASTIC FROM ROOM 225; NON-ACM FLOOR TILE; ACM MASTIC FROM CORRIDOR, 2ND FLOOR & ACM FLOOR MASTIC FROM BASEMENT, 1ST & 2ND FLOOR",23732,t,2/28/19,2/25/20,8,t,f,2/25/20,RENOVATION,40.5184013,-80.1667247
PAA190127,VACANT WAREHOUSE,1600  SMALLMAN ST,PITTSBURGH,15222,1850,5313,908,REMOVE WINDOW CAULKING FROM BASEMENT; BLACK TAR AND FELT FROM ROOF; BUILT-UP ROOF; FLOOR TILE FROM 2ND FLOOR; AND COVE BASE FROM 2ND FLOOR BATH,37330,f,3/4/19,7/31/19,2,f,t,6/30/19,RENOVATION,40.4494862,-79.987412
PAA190128,UOP COMMUNITY ENGAGEMENT CTR - 626 HOMEWOOD AVE,,PITTSBURGH,15208,1550,4469,905,REMOVE VAT/MASTIC FROM FRONT OF BUILDING; MASTIC & WALL ADHESIVE FROM FIRST FLOOR; TILE & MASTIC FROM REAR OF BUILDING; PIPING FROM BASEMENT & ROOF TAR,6750,t,2/27/19,2/2/20,2,f,f,2/2/20,RENOVATION,40.4509149,-79.9024779
PAA190129,UOP THAW HALL-ROOM 201,3941  OHARA ST,PITTSBURGH,15213,450,4468,905,REMOVE VAT & MASTIC FROM ROOM 201 ON SECOND FLOOR,525,t,2/25/19,12/31/19,2,t,f,12/31/19,RENOVATION,40.4450083,-79.9579922
PAA190130,USS CLAIRTON ELECTRICIANS SHIFT OFFICE ROOF,400 STATE ST,CLAIRTON,15025,1250,033969 & 033700,904,REMOVE GALVESTOS SHEETING FROM ROOF,4000,f,3/4/19,3/4/20,2,f,f,3/4/20,RENOVATION,40.2940921,-79.8728393
PAA190134,CMU MOREWOOD GARDENS D-TONER,1060 MOREWOOD AVE,PITTSBURGH,15213,1550,1415,901,REMOVE PIPE INSULATION AND FITTINGS FROM 1ST THRU 7TH FLOOR BATHROOMS AND TILE MASTIC FROM 1ST THRU 7TH FLOOR DATA CLOSETS,7900,t,3/11/19,12/31/19,2,t,f,12/31/19,RENOVATION,40.4454444,-79.9432431
PAA190135,CITY COUNTY BUILDING - 4TH FLOOR,414 GRANT ST,PITTSBURGH,15219,1250,16951 & 17180,931,"REMOVE FLOOR TILE AND MASTIC FROM ROOMS 406A, 406, 407, 408, 409, 409A, 409B, 409C, & 409D",2310,t,3/7/19,3/7/20,2,t,f,3/7/20,RENOVATION,40.4382355,-79.9966742
PAA190137,PRODUCE TERMINAL,2100 SMALLMAN ST,PITTSBURGH,15222,1850,5315,908,REMOVE VARIOUS MATERIALS THROUGHOUT THE BUILDING - SEE ATTACHED,19428,t,3/6/19,10/31/19,2,t,f,10/31/19,RENOVATION,40.4521935,-79.984572
PAA190140,HERITAGE VALLEY SEWICKLEY HOSP. - LVL 2 MECH ROOM,720  BLACKBURN RD,SEWICKLEY,15143,450,407392,929,REMOVE ASBESTOS STEAM PIPE & INSULATION 10' STEAM LINE IN THE LEVEL 02 MECHANICAL ROOM BEHIND THE ENGINEERING OFFICES,1884,t,3/12/19,12/31/19,2,f,t,3/31/19,RENOVATION,40.542729,-80.1780136
PAA190144,FOX CHAPEL PLAZA,1123 FREEPORT RD,PITTSBURGH,15238,850,4477,905,REMOVE FLOOR TILE & MASTIC THROUGHOUT STORE,1900,f,3/13/19,12/31/19,2,t,f,12/31/19,RENOVATION,40.4882937,-79.8818081
PAA190150,MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,200,5506,940,REMOVEFLOOR TILE & MASTIC FROM 1ST FLOOR FORMER MORGUE,3000,t,3/14/19,10/21/19,2,t,f,10/21/19,RENOVATION,40.4362085,-79.9856207
PAA190154,MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,1250,5508,940,"REMOVE FLOOR TILE, MASTIC AND SHEET FLOORING FROM 2ND FLOOR PHARMACY AREA",5160,t,3/21/19,12/30/19,2,f,f,12/30/19,RENOVATION,40.4362085,-79.9856207
PAA190157,STEPHEN FOSTER MEMORIAL BUILDING - 4301 FORBES AVE,,PITTSBURGH,15213,450,4479,905,"REMOVE FLOOR TILE, MASTIC & CEILING PLASTER FROM BASMENT/THEATRE AREA",614,t,3/18/19,12/31/19,2,t,f,12/31/19,RENOVATION,40.4379259,-79.9556424
PAA190158,BRIGHTON HEIGHTS SENIOR CARE CENTER,3515  MCCLURE AVE,PITTSBURGH,15212,1550,1931,931,REMOVE FLOOR TILE & MASTIC THROUGHOUT 1ST & 2ND FLOORS; PIPE INSULATION ON 2ND FLOOR & EXTERIOR WINDOW CAULKING,9550,t,3/21/19,3/21/20,2,f,f,3/21/20,RENOVATION,40.4791494,-80.0358962
PAA190160,VERIZON WEST VIEW,44  CENTER AVE,WEST VIEW,15229,200,5332,908,"REMOVE FLOOR TILE & MASTIC FROM BASEMENT;  WINDOWS FROM BASEMENT & FIRST FLOOR; FLOOR TILE, MASTIC & PIPE INSULATION FROM FIRST FLOOR",78,t,3/4/19,8/30/19,2,t,t,3/29/19,RENOVATION,40.5097046,-80.0277599
PAA190163,OFFICE BUILDING,209  9TH ST,PITTSBURGH,15222,1850,1428,901,VARIOUS MATERIALS IN VARIOUS LOCATIONS - SEE ATTACHED,25494,f,3/25/19,12/31/19,2,f,f,12/31/19,RENOVATION,40.443487,-79.997933
PAA190167,PITTSBURGH CAREER INSTITUTE,421  7TH AVE,PITTSBURGH,15219,1850,1434,901,REMOVE FLOOR TILE AND AMSTIC ON FLOORS 1 THRU 5 AND CEILING GLUE DOTS ON FLOORS 4 THRU 6,58135,t,3/27/19,3/27/20,2,f,f,3/27/20,RENOVATION,40.4427382,-79.9958878
PAA190175,CMU MOREWOOD GARDENS E TOWER,1060 MOREWOOD AVE,PITTSBURGH,15213,850,1445,901,"REMOVE PIPE INSULATION AND FITTINGS, BOILER INSULATION & DUCT INSULATION FROM BASEMENT ROOM A9",1194,t,4/8/19,7/31/19,2,t,f,7/31/19,RENOVATION,40.4454444,-79.9432431
PAA190176,CMU WOODLAWN APARTMENTS - 5176 MARGARET MORRISON,,PITTSBURGH,15213,1250,1446,901,REMOVE PIPE INSULATION AND FITTINGS FROM BASEMENT,2575,t,4/8/19,7/31/19,2,f,f,7/31/19,RENOVATION,40.4379259,-79.9556424
PAA190181,WQED TOWER SITE,3801  UNIVERSITY C DR,PITTSBURGH,15213,200,4485,905,REMOVE VAT FROM FIRST FLOOR,270,t,4/2/19,12/31/19,2,t,f,12/31/19,RENOVATION,40.4455347,-79.9613151
PAA190184,BETTIS ATOMIC POWER LABORATORY - AT BUILDING,814 PITTSBURGH MCKEESPORT BLVD,WEST MIFFLIN,15122,1850,2023284,940,"REMOVE FLOOR TILE THROUGHOUT 1ST/2ND FL & STAIRWELLS; EXT CAULKING, INT/EXT GLAZING & EXT LINTEL CAULKING FROM 1ST/2ND FL WINDOWS; RESIDUAL CAULKING FROM EXT NORTH/WEST/SOUTH WALLS; PIPE FITTING INS FROM W. STAIRWELL/EXTENSION; & WEST CANOPY ROOF CAULKING",37446,t,4/11/19,4/10/20,2,f,f,4/10/20,RENOVATION,40.3560891,-79.8997901
PAA190188,ARBOR VILLAGE,200 JHF DR,PITTSBURGH,15217,1550,21907,941,REMOVE FLOOR TILE & MASTIC FROM 4TH FLOOR ARBOR UNIT MULTIPLE AREASE,12540,f,4/9/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4137475,-79.9198823
PAA190190,MIDTOWN TOWER,643  LIBERTY AVE,PITTSBURGH,15222,1250,17173,931,REMOVE PIPE INSULATION FROM FLOORS 2 THRU 16 AT COLUMNS B2 & B6,2198,f,4/10/19,4/10/20,2,t,f,4/10/20,RENOVATION,40.4426381,-80.0001691
PAA190194,PITTSBURGH MINADEO PRE K-5,6502 LILAC ST,PITTSBURGH,15217,850,7514,921,MULTIPLE MATERIALS IN MULTIPLE AREAS - SEE ATTACHED,1041,t,4/16/19,4/15/20,2,f,f,4/15/20,RENOVATION,40.4238559,-79.925479
PAA190195,WOODLAND HILLS HIGH SCHOOL - 2550 GREENSBURG PIKE,,PITTSBURGH,15218,450,47530,903,REMOVE PIPE FITTING INSULATION FROM 1ST2ND FLOOR LOCKER ROOMS AND 2ND FLOOR STORAGE ROOMS; CEILING PLASTER FROM SWIMMING POOL MECHANICAL ROOM; AND FLOOR TILE & MASTIC FROM 2ND FLOOR SMALL RESTROOM AND SMALL OFFICE,529,t,4/16/19,12/31/19,2,f,f,12/31/19,RENOVATION,40.421945,-79.8884819
PAA190199,UOP CATHEDRAL OF LEARNING - 4200 FIFTH AVENUE,,PITTSBURGH,15260,1550,4490,905,REMOVE FLOOR TILE AND CEILING PLASTER FROM GROUND FLOOR; FLOOR TILE AND MASTIC FROM ROOM B08; AND PIPE INSULATION FROM BASEMENT AND GROUND FLOOR,8454,t,4/18/19,4/1/20,2,t,f,4/1/20,RENOVATION,40.4424402,-79.9531948
PAA190200,STEPHEN FOSTER MEMORIAL BUILDING - 4301 FORBES AVENUE,,PITTSBURGH,15213,450,4489,905,"REMOVE CEILING PLASTER, PIPING & DUCTWORK FROM GROUND FLOOR",866,t,4/17/19,4/1/20,2,t,f,4/1/20,RENOVATION,40.4379259,-79.9556424
PAA190203,VACANT RESIDENCE,4012  LIBERTY AVE,PITTSBURGH,15224,850,1045,921,"REMOVE BROWN FLOORING FROM FIRST FLOOR, MIDDLE AREA & PILE OF ROOFING DEBRI FROM WEST SIDE OF HOUSE",1830,f,4/11/19,4/10/20,2,f,f,4/10/20,RENOVATION,40.4625828,-79.9565931
PAA190204,VACANT RESIDENCE,4014  LIBERTY AVE,PITTSBURGH,15224,850,1045,921,"REMOVE ROOF TAR PAPER, WINDOW CAULKING, PLASTER ON GROUND OF THE NORTH EAST SIDE OF HOUSE & PLASTER DEBRI ON PORCH",1360,f,4/11/19,4/11/20,2,t,f,4/11/20,RENOVATION,40.4627365,-79.9565494
PAA190205,MAGEE WOMENS HOSPITAL?,300 HALKET ST,PITTSBURGH,15213,200,5571,940,"REMOVE CC FLOOR TILE AND FLOOR MASTIC FROM 2800 WING - ROOM 2825, NURSE'S STATION & LAB",1340,t,4/16/19,12/30/19,2,f,f,12/30/19,RENOVATION,40.4368286,-79.960688
PAA190206,MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,200,5570,940,REMOVE FLOOR TILE AND MASTIC ON 2ND FLOOR IN THE PHARMACY AND RECEIVING AREA,540,t,4/16/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4362085,-79.9856207
PAA190209,PITTSBURGH LANGLEY SCHOOL,2940 SHERADEN BLVD,PITTSBURGH,15204,450,7517,921,"REMOVE FLOOR TILE & MASTIC FROM UNDER CARPET IN ROOMS 106, 106A, 106B, 106C, & 106D",900,t,4/12/19,4/11/20,2,t,f,4/11/20,RENOVATION,40.4542647,-80.055305
PAA190213,AHN - ALLEGHENY VALLEY HOSPITAL,1301 CARLISLE ST,FAWN,15065,450,407407,929,ROOFING FROM LIFE CARE SERVICES ROOF,400,t,4/29/19,9/30/19,2,t,f,9/30/19,RENOVATION,40.618767,-79.736921
PAA190218,ST. MARGARET HOSPITAL,815 FREEPORT RD,PITTSBURGH,15215,450,5569,940,REMOVE CC FLOOR TILE AND MASTIC FROM 3RD FLOOR SUITE 307,640,t,4/29/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4891376,-79.8961109
PAA190225,MONTEFIORE HJOSPITAL,3459 5TH AVE,PITTSBURGH,15213,200,5637,940,REMOVE FLOOR TILE AND MASTIC IN ROOMS 741 & 741.1 ON THE 7TH FLOOR,500,t,4/30/19,7/30/19,2,t,t,5/30/19,RENOVATION,40.4405925,-79.9617686
PAA190229,CBRE FAC 525,525  WILLIAM PENN PL,PITTSBURGH,15219,1850,5631,940,REMOVE FROM FLOOR 33 NON ACM PLASER CEILING WITH ASBESTOS GLUE DOTS & PIPE INSULATION,11160,t,4/29/19,10/30/19,2,f,f,10/30/19,RENOVATION,40.4401116,-79.9978537
PAA190230,SOUTHSIDE MARKET HOUSE - 202 BEDFORD SQUARE,,PITTSBURGH,15203,850,17273,931,"REMOVE FLOOR TILE FROM ELECTRICAL ROOM 119, CLASSROOM 121, STORAGE ROOM 123, & MECHANICAL ROOM 129",1365,t,4/29/19,4/29/20,2,t,f,4/29/20,RENOVATION,40.4293034,-79.9724245
PAA190231,SAINT COLUMBKILLE PARISH,103 CHURCH RD,FINDLAY,15126,1850,17274,931,"FLOOR TILE & MASTIC 2ND FLOOR CLASSROOMS, HALLWAYS, OFFICES, BATHROOMS, AND SLATE ENTRANCE",10500,t,5/28/19,5/28/20,2,t,f,5/28/20,RENOVATION,40.4479816,-80.244028
PAA190233,UOP CATHEDRAL OF LEARNING - 4200 FIFTH AVENUE,,PITTSBURGH,15260,850,4493,905,PIPE INSULATION IN 2ND & 3RD FLOOR MEN'S RESTROOMS & 1ST FLOOR OFFICES MEN'S RESTROOM-CHASE,1304,t,4/26/19,4/1/20,2,t,f,4/1/20,RENOVATION,40.4424402,-79.9531948
PAA190234,OFFICE BUILDING,525  WILLIAM PENN PL,PITTSBURGH,15219,200,5371,908,REMOVE PIPE INSULATION FROM FIRST FLOOR PIPES,140,t,5/1/19,7/31/19,2,f,t,6/30/19,RENOVATION,40.4401116,-79.9978537
PAA190235,DUQUESNE UNIVERSITY ROCKWELL HALL 6TH FL & SKYWALK,1204  5TH AVE,PITTSBURGH,15219,850,5376,908,"REMOVE FLOOR TILE & PIPE INSULATION FROM MER ROOM CLOSETS ON 5TH; FLOOR TILE FROM ROOMS 712C, D & E;  FLOOR TILE FROM MER CLSOEST ROOMS 602, 604, 604 A & J, VEST, 608,  608 A&B;  & PIPE INSULATION FROM MER CLOSETS ROOMS 600F, J, K & VEST",1584,t,5/1/19,7/31/19,2,f,f,7/31/19,RENOVATION,40.4384276,-79.988701
PAA190236,UNIVERSITY OF PITTSBURGH LITCHFIELD TOWER A,3990 5TH AVE,PITTSBURGH,15213,850,5372,908,REMOVE PIPE FITTINGS IN BATHROOMS ON FLOORS 2 - 19 AND PLASTER CEILING IN 4TH FLOOR BATHROOM,1650,f,5/1/19,7/31/19,2,t,f,7/31/19,RENOVATION,40.4427563,-79.9564623
PAA190237,MICKINLEY REC GYMNASIUM,900 DELMONT AVE,PITTSBURGH,15210,1250,17342,931,REMOVE FLOOR TILE & MASTIC FROM GYMNASIUM FLOOR,3200,t,5/1/19,5/1/20,2,t,f,5/1/20,RENOVATION,40.4142509,-80.0038436
PAA190239,MAGEE WOMENS HOSPITAL?,300 HALKET ST,PITTSBURGH,15213,200,5638,940,REMOVE CC FLOOR TILE AND FLOOR MASTIC FROM ROOM 2826 ON THE 2800 WING,200,t,4/23/19,12/30/19,2,t,f,12/30/19,RENOVATION,40.4368286,-79.960688
